title,link
just wondering to help myself,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/just-wondering-to-help-myself/td-p/607930
venting,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/venting/td-p/607369
"Lost, my life so far is aimless",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/lost-my-life-so-far-is-aimless/td-p/607867
Heavy Heart...,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/heavy-heart/td-p/607784
Why not?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/why-not/td-p/607089
Disability and inequity,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/disability-and-inequity/td-p/607238
Disclosing/limited disclosure to Psychiatrist suicidal intent,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/disclosing-limited-disclosure-to-psychiatrist-suicidal-intent/td-p/607193
No one actually cares,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/no-one-actually-cares/td-p/604875
My son beat me. And then bit me.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/my-son-beat-me-and-then-bit-me/td-p/606609
Downward spiral,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/downward-spiral/td-p/605225
Needing support,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/needing-support/td-p/606388
Emptiness taints everything,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/emptiness-taints-everything/td-p/605296
"When power is concentrated in the hands of the few, the actions of the many don't matter.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/when-power-is-concentrated-in-the-hands-of-the-few-the-actions/td-p/605953
I genuinely don’t believe the world will get better and I feel stuck.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-genuinely-don-t-believe-the-world-will-get-better-and-i-feel/td-p/605879
More scared than I've ever been,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/more-scared-than-i-ve-ever-been/td-p/605681
Concerned,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/concerned/td-p/605666
I keep fucking up,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-keep-fucking-up/td-p/605481
Home,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/home/td-p/605316
My story,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/my-story/td-p/605263
I don’t know how to stop,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-know-how-to-stop/td-p/604314
Tired,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/tired/td-p/558760
It hurts to much to keep going,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/it-hurts-to-much-to-keep-going/td-p/604713
Thinking of ending life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/thinking-of-ending-life/td-p/604683
Passive suicidal ideation,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/passive-suicidal-ideation/td-p/604676
I want to do it but there’s to much to leave behind.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-want-to-do-it-but-there-s-to-much-to-leave-behind/td-p/604545
I wanna die but im so selfish and lowkey scared,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-wanna-die-but-im-so-selfish-and-lowkey-scared/td-p/604604
Finding things hard,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/finding-things-hard/td-p/604278
I'm gonna kill myself if things don't get better,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-gonna-kill-myself-if-things-don-t-get-better/td-p/604221
"If I told my psychologist that I am suicidal, what can they do for me?",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/if-i-told-my-psychologist-that-i-am-suicidal-what-can-they-do/td-p/604025
Good news!,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/good-news/td-p/604118
I want to disappear or die,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-want-to-disappear-or-die/td-p/604106
Problems with anger and rage,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/problems-with-anger-and-rage/td-p/603696
"Loneliness, PTSD & Suicidal Ideation",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/loneliness-ptsd-amp-suicidal-ideation/td-p/603677
Self Injury Revisited,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/self-injury-revisited/td-p/603555
Confusing thoughts. (Delete if need be),https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/confusing-thoughts-delete-if-need-be/td-p/603646
Not special,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/not-special/td-p/603084
Hello I'm brand new not sure I'm in the correct forum,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/hello-i-m-brand-new-not-sure-i-m-in-the-correct-forum/td-p/603138
Passive suicidal behaviour,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/passive-suicidal-behaviour/td-p/601457
What do I do?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-do-i-do/td-p/603283
Depression,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/depression/td-p/603327
"I am heartbroken, angry, conflicted.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-am-heartbroken-angry-conflicted/td-p/603129
I’m so tired,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-so-tired/td-p/603093
I'm Scared,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-scared/td-p/602910
Without Cause,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/without-cause/td-p/602855
"Disassociation, Alienation Please Help me",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/disassociation-alienation-please-help-me/td-p/602840
"I'm 13, and feeling like my world is collapsing.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-13-and-feeling-like-my-world-is-collapsing/td-p/602819
"my mum js died from cancer , im 12",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/my-mum-js-died-from-cancer-im-12/td-p/602814
Okay to not be okay.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/okay-to-not-be-okay/td-p/600581
I didnt think i would be back here,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-didnt-think-i-would-be-back-here/td-p/602582
"Help, I guess?",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/help-i-guess/td-p/601693
its getting more difficult,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/its-getting-more-difficult/td-p/599932
I harmed myself for the first time in a year,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-harmed-myself-for-the-first-time-in-a-year/td-p/601698
struggling again.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/struggling-again/td-p/601437
18year old trying to quit sh,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/18year-old-trying-to-quit-sh/td-p/601198
I’m not sure who to talk to,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-not-sure-who-to-talk-to/td-p/600769
I really need reasons not to do it...the world is so crap and getting worse,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-really-need-reasons-not-to-do-it-the-world-is-so-crap-and/td-p/600061
What is the point.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-is-the-point/td-p/600949
Intellectual existence,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/intellectual-existence/td-p/584811
Cactus without options,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/cactus-without-options/td-p/600464
Need support,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/need-support/td-p/600315
scared and struggling,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/scared-and-struggling/td-p/600252
Break up,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/break-up/td-p/599927
Frightened,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/frightened/td-p/598432
I don’t know anymore,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-know-anymore/td-p/599848
hi guys,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/hi-guys/td-p/599225
"Depression, anxiety, parents fighting, bullying.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/depression-anxiety-parents-fighting-bullying/td-p/598453
She showed me the scars,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/she-showed-me-the-scars/td-p/598804
Guess it could be worse?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/guess-it-could-be-worse/td-p/598853
What to do?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-to-do/td-p/598612
I Don't Feel Alive Anymore.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-feel-alive-anymore/td-p/598610
When tornadoes form together.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/when-tornadoes-form-together/td-p/597855
"Self harm, eating disorder (bit of a ramble)",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/self-harm-eating-disorder-bit-of-a-ramble/td-p/597904
"I don't really see a point in living at all. Existential/nihilistic crisis, I guess?",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-really-see-a-point-in-living-at-all-existential/td-p/591559
unwanted human,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/unwanted-human/td-p/597818
I relapsed and I'm terrified of losing my boyfriend,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-relapsed-and-i-m-terrified-of-losing-my-boyfriend/td-p/598025
Is it normal?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/is-it-normal/td-p/597383
Can people really get better?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/can-people-really-get-better/td-p/597357
What's the point?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-s-the-point/td-p/597219
Tired of living,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/tired-of-living/td-p/597112
Suicidal thoughts,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/suicidal-thoughts/td-p/595410
Suicidal ?? Do not or perhaps watch movie Bird box,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/suicidal-do-not-or-perhaps-watch-movie-bird-box/td-p/594925
Trying to overcome these feelings.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/trying-to-overcome-these-feelings/td-p/596922
Benign Fasciculation Disorder - Hopelessness,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/benign-fasciculation-disorder-hopelessness/td-p/502053
Comorbid mental health,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/comorbid-mental-health/td-p/596766
Recovered and enjoying life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/recovered-and-enjoying-life/td-p/596764
Disability and Depression,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/disability-and-depression/td-p/596814
Suicidality and perimenopause,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/suicidality-and-perimenopause/td-p/578357
I am not ok,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-am-not-ok/td-p/595211
Maybe help should come in a different approach,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/maybe-help-should-come-in-a-different-approach/td-p/594966
Help,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/help/td-p/594970
Nervous breakdown,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/nervous-breakdown/td-p/593592
I’m struggling with mental health but don’t have severe trauma,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-struggling-with-mental-health-but-don-t-have-severe-trauma/td-p/594079
It is time to go now,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/it-is-time-to-go-now/td-p/593963
About to break,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/about-to-break/td-p/593970
How to support my friend,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/how-to-support-my-friend/td-p/593558
Your going to be okay,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/your-going-to-be-okay/td-p/593649
Totally lost and broken,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/totally-lost-and-broken/td-p/593494
Concerned about brother,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/concerned-about-brother/td-p/592400
Times arrow marches forward with or without us,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/times-arrow-marches-forward-with-or-without-us/td-p/591119
I just want to be okay,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-just-want-to-be-okay/td-p/593595
"I feel worthless, I'm tragic, without direction and don't have a reason to live anymore.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-feel-worthless-i-m-tragic-without-direction-and-don-t-have-a/td-p/592587
I don't deserve to be here,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-deserve-to-be-here/td-p/592648
Not suicidal just not super happy,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/not-suicidal-just-not-super-happy/td-p/592683
I don’t know what going on,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-know-what-going-on/td-p/592029
strong urges,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/strong-urges/td-p/3085
bullying,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/bullying/td-p/591892
I can't face anymore injustice. I'm a tragedy.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-can-t-face-anymore-injustice-i-m-a-tragedy/td-p/589511
Why do I feel like this,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/why-do-i-feel-like-this/td-p/591318
Can masterbation be a type of self harm?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/can-masterbation-be-a-type-of-self-harm/td-p/590966
trapped,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/trapped/td-p/590654
shit,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/shit/td-p/591010
Is recovery from long-term severe depression possible?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/is-recovery-from-long-term-severe-depression-possible/td-p/553892
Every moment is agony,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/every-moment-is-agony/td-p/590796
I'm scared I'm not doing enough with my life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-scared-i-m-not-doing-enough-with-my-life/td-p/590601
Self-harm help,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/self-harm-help/td-p/590577
Resources needed,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/resources-needed/td-p/590505
Steps- Survive Change Recover Reflect Avoid,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/steps-survive-change-recover-reflect-avoid/td-p/590384
Everything's too much and I don't know what to do,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/everything-s-too-much-and-i-don-t-know-what-to-do/td-p/590234
"Chronic suicidal thoughts, does it get better?",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/chronic-suicidal-thoughts-does-it-get-better/td-p/588479
addicted to suicidal thoughts?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/addicted-to-suicidal-thoughts/td-p/589434
Living in my car,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/living-in-my-car/td-p/589427
I lost my purpose,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-lost-my-purpose/td-p/589059
So tired of this,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/so-tired-of-this/td-p/588490
Completely Lost,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/completely-lost/td-p/589041
suicide is a western phenonemon,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/suicide-is-a-western-phenonemon/td-p/588868
not been around for a while.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/not-been-around-for-a-while/td-p/583830
How to forgive yourself,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/how-to-forgive-yourself/td-p/449101
Depression from work,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/depression-from-work/td-p/587741
Feeling so depressed,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/feeling-so-depressed/td-p/587932
By best friend thinks I’m a bitch,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/by-best-friend-thinks-i-m-a-bitch/td-p/565829
Mum keeps wishing she was dead,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/mum-keeps-wishing-she-was-dead/td-p/587466
Bipolar Disorder Low's Causing Dark Thoughts,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/bipolar-disorder-low-s-causing-dark-thoughts/td-p/587267
Threatened/intimidated by me,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/threatened-intimidated-by-me/td-p/587136
Relying on Pain,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/relying-on-pain/td-p/586788
Support when feeling like i cannot return to work?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/support-when-feeling-like-i-cannot-return-to-work/td-p/586987
Addiction,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/addiction/td-p/586831
Re: Vent and then let it go...,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/re-vent-and-then-let-it-go/td-p/562535
Loneliness and lossing,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/loneliness-and-lossing/td-p/586669
TW: Living with Delusional Disorder - Schizophrenia.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/tw-living-with-delusional-disorder-schizophrenia/td-p/586666
Parents.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/parents/td-p/586613
Dark. Thoughts,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/dark-thoughts/td-p/584694
My sister told me to die,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/my-sister-told-me-to-die/td-p/586117
Over Tired in my thoughts…,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/over-tired-in-my-thoughts/td-p/585612
Confused about life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/confused-about-life/td-p/585645
Unsure about whether to go non-contact with my mum,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/unsure-about-whether-to-go-non-contact-with-my-mum/td-p/585520
Depression after Brain Aneurysm,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/depression-after-brain-aneurysm/td-p/585327
Complex trip and sh thoughts when doing well,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/complex-trip-and-sh-thoughts-when-doing-well/td-p/585384
Negative thoughts pls go away! :(,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/negative-thoughts-pls-go-away/td-p/563236
"I'm tired, traumatised and been depressed for so long I don't know anything else.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-tired-traumatised-and-been-depressed-for-so-long-i-don-t/td-p/585163
Out of Options,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/out-of-options/td-p/584769
Need help with stress and depression,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/need-help-with-stress-and-depression/td-p/585091
Battling,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/battling/td-p/584964
who am i,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/who-am-i/td-p/584970
Schizophrenia,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/schizophrenia/td-p/584665
How to cope following an attempt?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/how-to-cope-following-an-attempt/td-p/584329
I hate this time of year & everything about my life,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-hate-this-time-of-year-everything-about-my-life/td-p/10159
There is no room in my life for me anymore,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/there-is-no-room-in-my-life-for-me-anymore/td-p/584311
Mental health and depression,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/mental-health-and-depression/td-p/584223
Don’t want to wake up,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/don-t-want-to-wake-up/td-p/583806
My son attempted suicide,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/my-son-attempted-suicide/td-p/583515
I won’t hurt myself but I want to,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-won-t-hurt-myself-but-i-want-to/td-p/583419
I don’t know what to do,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-don-t-know-what-to-do/td-p/583398
tired of fighting,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/tired-of-fighting/td-p/583111
Urge and bad thoughts,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/urge-and-bad-thoughts/td-p/583420
I just found out my brother knew our other brother molested and did nothing,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-just-found-out-my-brother-knew-our-other-brother-molested-and/td-p/582335
I called the Suicide call back service today.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-called-the-suicide-call-back-service-today/td-p/583269
Hello darkness,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/hello-darkness/td-p/577187
"Surviving, but only just",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/surviving-but-only-just/td-p/583029
How do you break old habits with suicide,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/how-do-you-break-old-habits-with-suicide/td-p/582750
Scared mum of teen,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/scared-mum-of-teen/td-p/575269
Ending it after an argument,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/ending-it-after-an-argument/td-p/582593
A six week cycle?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/a-six-week-cycle/td-p/582747
What do I do?,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/what-do-i-do/td-p/582654
The housing crisis in perth makes me feel suicidal,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/the-housing-crisis-in-perth-makes-me-feel-suicidal/td-p/582464
Suicide ideation,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/suicide-ideation/td-p/582508
hopeless. the battle is neverending.,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/hopeless-the-battle-is-neverending/td-p/555236
"Feeling Broken, alone and lost the will",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/feeling-broken-alone-and-lost-the-will/td-p/582175
"I’m new, and I’m not ok.",https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/i-m-new-and-i-m-not-ok/td-p/580030
Tough 2023,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/tough-2023/td-p/581563
Struggling,https://forums.beyondblue.org.au/t5/suicidal-thoughts-and-self-harm/struggling/td-p/581691
